367,"Barangnya lumayan oke, pelayannya juga bagus. Ditambah pengirimannya cepat. Makasih ya"
368,mantap
369,keren
370,Best action cam
371,"Barang bagus, toko terpercaya, harga yang paling murah dari yang lain"
372,"pelayanan oke respon seller mantap, keren pokonya doss barang originalll"
373,"pelayanan oke respon seller mantap, keren pokonya doss"
374,"pengiriman cepat dan aman, barang asli dan sudah dites aman berkualitas"
375,barang sudah dan sudah di cek. bqgus
376,Super duper
377,STELLA MAKASIH BANGEEEETTTT
378,Cacat
379,Semua fitur berfungsi baik Berfungsi dengan baik
380,Mantaapp Toko Amanah Bangettt. ...  Puas. .... Belanja  Di Doeess. ..    Atmin Nya Bales pertanyaan Kita Juga . . Memuaskan. .  B 5 dehh pokok nya
381,"Bisa kirim Instant, cepet, dan harga bagus"
382,"barang sudah sampai, terima kasih, tinggal di test"
383,Kamera bagus sesuai dengan harga buat gaya thanks doss semiga sukses selalu
384,"Semua fitur berfungsi baik Berfungsi dengan baik. ringan, sgt membantu krn ringkes banget."
385,Kualitas bahan mantap 👍 Berfungsi dengan baik Dijamin Termurah
386,Mantap sesuai. Fast resp dan pengiriman oke
387,pelayanan terbaik
388,Very cool cameras from very affordable price. To Bali came very fast
389,makasih mantap
390,baik banget adminnya. sukses teruss
391,"build quality solid, focusing nya terlalu ringan dan sangat disayangkan hood nya tidak bisa ngelock jadi gampang lepas"
392,"Barang bagus, sesuai. Cuma ternyata kartu garansi sdh terisi pembelian bulan Desember 2023. Sudah diselesaikan dengan baik oleh tim DOSS."
393,packing tebal barang berfungsi dng baik pengiriman cepat sampe
394,Doss selalu puas ya. Mantap! Selalu rekomendasi Doss!
395,produk original. seller fast respons
396,"Barang original, pengiriman cepat, staff doss sangan helpfull."
397,Bagus
398,Semua fitur berfungsi baik seller keren bintang 5 paasti
399,Josss
400,Semua fitur berfungsi baik
401,"barang mantap berfungsi dengan baik, pengiriman cepat Suaranya jernih Barangnya original 👍 Desainnya modern 😍 Material premium Baterai tahan lama Noise cancellation man... "
402,MAS MARYO GA ADA OBAAAT🔥🔥🔥
403,Intinya Cepat sampai. barang masih tersegel 100% bagusss
404,gojeknya minta tambahan ongkir buat parkir padahal sudah include di ongkir tokped ya.. sblmnya beli dsni gak diminta tambahan..
405,"bagus produknya, sangat membantu"
406,The Best
407,pelayanan oke
408,Mantap. Thanks!
409,pelayanan khas doss no kaleng2 mantap lah pokoknya
410,"Packing rapi dan Pengiriman cepat, Barang berkualitas pastinya, Recomended Seller"
411,"barang bagus, compatible dengan fx30 😊"
412,Pengiriman cepat. Baterai berfungsi dengan baik ketika dicoba di kamera. Charger-nya juga berfungsi dengan baik. Paket dikemas dengan rapi dan aman.
413,"alhamdulillah barang sampai dengan selamat, packingnya rapi, semoga awet,"
414,"alhamdulillah barang sampai dengan selamat, tidak ada lecet, dan pengiriman cepat, sales juga ramah, semoga jaya trus"
415,"Doss as always, trusted."
416,packing aman barang joss penjual fastrespon
417,Mantap
418,"mantap, pengiriman cepat"
419,"Respon seller baik, pengiriman cepat. Produkmelebihi ekspektasi. Cocok buat clamp action cam beserta sticknya"
420,sat set
421,Recommended
422,Recommended
423,sesuai pesanan Berfungsi dengan baik. original smallrig
424,Barang sesuai dengan deskripsi. Jos pokoknya
