index,reviews
325,bagus
326,jos banget
327,udah langganan jd gak usah diragukan lagi
328,"bagus, cepat, mantap, packing super aman"
329,mantap dan sesuai
330,"Produk Sesuai Gambar dan Deskripsi. Berfungsi Dengan Baik, Doss Selalu Fast Respon dan Full Support. Terima Kasih."
331,"barang sampai dengan baik, terima kasih doss"
332,Belum dicoba percaya selalu sama doss mah
333,Selalu memuaskan
334,"barang bagus, harga okee"
335,puas banget
336,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga, ini pembelian kedua karena butuh 2"
337,"bagus banget, udah ada spring nya, kualitas bahan oke, mungkin rada tipis dari yang saya punya, tapi sesuai dengan harga"
338,"Keren lens hoodnya, cuma lupa beli adapter ring."
339,Barangny kereenn.. Kualitas baguss.. Topp
340,"Sekelas doss packagingnya bisa begini. Bubble wrap tipis, untung barangnya gak kenapa2. Tolong lebih dipikirkan packaging di barang yang harganya belasan juta"
341,"recommend seller, dilayani dengan baik dan sabarr"
342,"good conditions
kemasan baik banget ada bublewrap dan dus external"
343,Oke
344,"Bagus,Barang Ori,Staffnya Ramah"
345,"Barang berfungsi dengan baik. Packing rapi, berlapis2 dan aman. Sayang pengirimannya tidak gercep. Pakai kurir instan tapi baru dikirim besoknya. Harusnya order instan/sa... "
346,"mantap sesuai keterangan penjual. Pengiriman agak lambat, dari pihak kurir. Barang diterima dengan baik dan kemasan rapih dan aman"
347,the best
348,Tempat terbaik untuk membeli camera
349,"Packingnya aman dan selamat sampai tujuan, keren banget kameranya terimakasih untuk doss dikasih bonus"
350,"Noise level (hissing) terdengar jelas saat on, padahal dalam kondisi level 0 sound"
351,"tidak pernah kecewa belanja dsini, pengiriman cepet, packaging aman, seller responsif"
352,Doss memberikan pengalaman berbelanja yang sangat baik untuk pembelian kamera A7CII. Harga kompetitif dan deskripsi produk akurat. Pengiriman cepat dan kemasan aman. Laya... 
353,"kwalitas bagus,pelayanan ramah,pokoknya happy aniv doss sukses terus kedepannya,"
354,"Barang in high quality, servicenya sangat bagus dan cepat."
355,Semoga awet
356,Pengganti yang hilang..dicoba aman..joss..
357,Lengkap sudah ad200pro nya..joss..joss...
358,respon cepat.. pengiriman cepat.. packing baik.. sesuai pesanan.. terimakasih
359,"barang sampai dengan selamat, meski sempat delay po tapi toko sangat responsif👍"
360,cepat 👍🏾
361,"pelayanan sangat ramah dan cepat, produk juga sangat sesuai dengan deskripsi"
362,makasih sudah diterima
363,makasih sudah diterima
364,makasih sudah diterima
365,makasih sudah diterima
366,"Muraaah, turun harga dan dapet diskon tokped. Dapet bonus case dan kabel hdmi jg. mantap"
367,"Pelayanan ramah dan cepat, sesuai pesanan, packing aman …reksel doss 👍👍"
368,"mantapp barangnya sdh diterima ,masih segel...salah satu toko favorit !..sukses selalu Doss"
369,"Barang sudah sampai dan berfungsi dengan baik. Kualitas barang so2 lah ya sesuai budget.
Sedikit kendala di item barang yang free nya belum terkirim. Tapi seller dengan sigapnya... "
370,"Barangnya lumayan oke, pelayannya juga bagus. Ditambah pengirimannya cepat. Makasih ya"
371,mantap
372,keren
373,"Best action cam"
374,"Barang bagus, toko terpercaya, harga yang paling murah dari yang lain"
375,"pelayanan oke respon seller mantap, keren pokonya doss barang originalll"
376,"pelayanan oke respon seller mantap, keren pokonya doss"
377,"pengiriman cepat dan aman, barang asli dan sudah dites aman berkualitas"
378,barang sudah dan sudah di cek. bqgus
379,Super duper
380,STELLA MAKASIH BANGEEEETTTT
381,Cacat
382,Semua fitur berfungsi baik Berfungsi dengan baik
383,Mantaapp Toko Amanah Bangettt. ...  Puas. .... Belanja  Di Doeess. ..    Atmin Nya Bales pertanyaan Kita Juga . . Memuaskan. .  B 5 dehh pokok nya
384,"Bisa kirim Instant, cepet, dan harga bagus"
385,"barang sudah sampai, terima kasih, tinggal di test"
386,Kamera bagus sesuai dengan harga buat gaya thanks doss semiga sukses selalu
387,"Semua fitur berfungsi baik Berfungsi dengan baik. ringan, sgt membantu krn ringkes bgt."
388,Kualitas bahan mantap 👍 Berfungsi dengan baik Dijamin Termurah
389,"Mantap sesuai. Fast resp dan pengiriman oke"
390,pelayanan terbaik
391,Very cool cameras from very affordable price. To Bali came very fast
392,"makasih mantap"
393,"baik banget adminnya. sukses teruss"
394,"build quality solid, focusing nya terlalu ringan dan sangat disayangkan hood nya tidak bisa ngelock jadi gampang lepas"
395,"Barang bagus, sesuai. Cuma ternyata kartu garansi sdh terisi pembelian bulan Desember 2023. Sudah diselesaikan dengan baik oleh tim DOSS."
396,"packing tebal barang berfungsi dng baik pengiriman cepat sampe"
397,"Doss selalu puas ya. Mantap! Selalu rekomendasi Doss!"
398,"produk original. seller fast respons"
399,"Barang original, pengiriman cepat, staff doss sangan helpfull."
400,"Bagus"
401,"Semua fitur berfungsi baik seller keren bintang 5 paasti"
402,"Josss"
403,"Semua fitur berfungsi baik"
404,"barang mantap berfungsi dengan baik, pengiriman cepat Suaranya jernih Barangnya original 👍 Desainnya modern 😍 Material premium Baterai tahan lama Noise cancellation man... "
405,"MAS MARYO GA ADA OBAAAT🔥🔥🔥"
406,"Intinya Cepat sampai. barang masih tersegel 100% bagusss"
407,"gojeknya minta tambahan ongkir buat parkir padahal sudah include di ongkir tokped ya.. sblmnya beli dsni gak diminta tambahan.."
408,"bagus produknya, sangat membantu"
409,"The Best"
410,"pelayanan oke"
411,"Mantap. Thanks!"
412,pelayanan khas doss no kaleng2 mantap lah pokoknya
413,"Packing rapi dan Pengiriman cepat, Barang berkualitas pastinya, Recomended Seller"
414,"barang bagus, compatible dengan fx30 😊"
415,"Pengiriman cepat. Baterai berfungsi dengan baik ketika dicoba di kamera. Charger-nya juga berfungsi dengan baik. Paket dikemas dengan rapi dan aman."
416,"alhamdulillah barang sampai dengan selamat, packingnya rapi, semoga awet,"
